Player,Position,Team,Opp,DPA Avg,FPTS Avg,PASS_TD Avg,PASS_YDS Avg,PASS_ATT Avg,PASS_CMP Avg,INT Avg,RUSH_TD Avg,RUSH_YDS Avg,RUSH_ATT Avg,REC_TD Avg,REC_YDS Avg,REC Avg,ANYTIME_TD Avg,SACK Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Player Salary,Player Image,Tournament,Game Start Time
Donovan Delaney Jr.,RB,KENT,SCAR,,4.68,,,,,,0.24,24.6,6,0.13,,,0.5,,4.68,4.68,4.68,4.68,,,,,,,,,,,,
Xay Davis,RB,UVA,,,3.87,,,,,,0.34,18.5,,0,,,0.34,,3.89,3.89,3.89,3.89,,,,,,,,,,,,
Ayo Adeyi,RB,OKST,TLSA,,3.86,,,,,,0.18,23.41,5,0.01,1.69,0.21,0.5,,3.86,3.755,3.86,3.86,,,,,,,,,,,,
Quinton Martin Jr.,RB,PSU,MARSH,,3.8,,,,,,0.21,18.7,5,0.01,2.76,0.51,0.5,,3.976,3.721,3.976,3.976,,,,,,,,,,,,
Brandon Tullis,RB,MSU,TOL,,3.73,,,,,,0.28,12.71,1,0.01,3.79,0.23,0.5,,3.62,3.505,3.62,3.62,,,,,,,,,,,,
Corey Smith,RB,TOLEDO,MSU,,3.7,,,,,,0.21,17.95,1.5,0.02,3.93,0.09,0.31,,3.658,3.613,3.658,3.658,,,,,,,,,,,,
Kedren Young,RB,ND,RICE,,3.68,,,,,,0.18,15.49,3.3,0.04,3.83,0.46,0.5,,3.712,3.482,3.712,3.712,,,,,,,,,,,,
Marquis Gillis,RB,ARIZONASTATE,MORGST,,3.67,,,,,,0.2,18.61,3.5,0.01,2.47,0.3,0.37,,3.668,3.518,3.668,3.668,,,,,,,,,,,,
DJ Butler,RB,HOU,ORST,,3.65,,,,,,0.1,22.21,2.5,0.02,4.32,0.34,0.19,,3.713,3.543,3.713,3.713,,,,,,,,,,,,
Leo Pulalasi,RB,WASHST,UW,,3.62,,,,,,0.13,18.38,4.5,0.01,3.76,0.49,0.5,,3.544,3.299,3.544,3.544,,,,,,,,,,,,
TJ Lester,RB,MRSH,MIDDTN,,3.56,,,,,,0.2,16.26,3.6,0.04,2.98,0.22,0.5,,3.584,3.474,3.584,3.584,,,,,,,,,,,,
