Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE)
Michael Beatty,RB,ECU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974894,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8368.png,,,,,,,9/5/2026
DaMari Gantt,RB,ECU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974897,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8368.png,,,,,,,9/5/2026
Johnnie Daniels,RB,TUL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974900,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8412.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
DJ Dugar,RB,TUL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974903,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8412.png,,,,,,,9/5/2026
Jake Randle,RB,TUL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974906,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8412.png,,,,,,,9/5/2026
Gabe Mocek,RB,TUL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974909,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8412.png,,,,,,,9/5/2026
Jordan West,RB,TUL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974912,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8412.png,,,,,,,9/5/2026
Harry Stewart III,RB,BSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974915,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8468.png,,,,,,,9/5/2026
Zeke Martinez,RB,BSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974918,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8468.png,,,,,,,9/5/2026
Keilan Chavies,RB,BSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974921,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8468.png,,,,,,,9/5/2026
Mariyon Sloan,RB,BSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974924,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8468.png,,,,,,,9/5/2026
